year,survey,stratum,hauljoin,lat_mid,long_mid
2005,47,230,-13453,58.855645,-149.215555
2005,47,230,-13454,58.928335,-149.2919
2005,47,230,-13455,59.021105,-149.276
2005,47,230,-13456,59.0445,-149.905255
2005,47,33,-13457,59.560775,-150.562105
2005,47,33,-13458,59.53031,-150.614855
2005,47,33,-13459,59.571935,-150.535695
2005,47,133,-13460,59.338745,-149.869345
2005,47,33,-13461,59.711055,-149.6326
2005,47,133,-13462,59.786695,-149.052245
2005,47,133,-13463,59.737685,-148.5867
2005,47,133,-13464,59.6443,-148.29535
2005,47,140,-13465,59.960775,-146.9752
2005,47,41,-13466,60.15684,-145.458045
2005,47,140,-13467,60.121315,-145.54915
2005,47,140,-13468,60.120395,-145.649255
2005,47,140,-13469,60.177945,-146.52385
2005,47,41,-13470,59.980465,-146.20129
2005,47,41,-13472,59.810565,-146.542255
2005,47,134,-13473,59.263145,-147.507545
2005,47,134,-13474,59.10185,-148.088645
2005,47,134,-13475,59.157075,-148.032295
2005,47,133,-13476,59.308155,-147.94959
2005,47,133,-13478,59.927505,-149.12435
2005,47,133,-13479,59.537325,-149.824305
2005,47,133,-13480,59.27628,-149.2064
2005,47,111,-12567,52.664245,-168.9462
2005,47,111,-12568,53.02881,-167.63395
2005,47,10,-12570,53.27476,-168.016505
2005,47,10,-12571,53.178155,-168.115155
2005,47,10,-12572,53.20214,-167.7639
2005,47,10,-12575,53.70754,-166.0065
2005,47,10,-12576,53.54169,-166.622705
2005,47,111,-12577,53.41952,-166.4255
2005,47,410,-12578,53.59705,-165.269555
2005,47,11,-12580,53.954105,-164.822405
2005,47,11,-12581,53.996495,-164.176495
2005,47,11,-12582,53.92496,-164.239755
2005,47,310,-12584,53.661445,-164.785555
2005,47,10,-12585,54.225215,-165.4599
2005,47,11,-12586,54.41418,-164.2389
2005,47,11,-12587,54.521485,-164.27955
2005,47,11,-12588,54.446005,-163.9389
2005,47,11,-12589,54.49989,-163.8097
2005,47,11,-12590,53.95396,-163.465595
2005,47,11,-12591,54.159255,-163.714105
2005,47,11,-12592,54.407455,-163.7482
2005,47,11,-12593,54.624625,-162.920855
2005,47,110,-12594,54.50853,-162.1734
2005,47,210,-12595,54.10552,-161.63605
2005,47,11,-12596,54.150245,-162.077705
2005,47,510,-12597,54.212525,-161.147695
2005,47,510,-12598,54.21001,-161.103105
2005,47,12,-12599,55.064875,-162.55665
2005,47,12,-12600,54.980585,-162.40131
2005,47,12,-12601,55.557905,-161.5157
2005,47,12,-12602,55.330525,-161.17845
2005,47,111,-12603,54.385065,-160.902495
2005,47,111,-12604,54.3992,-160.85425
2005,47,110,-12605,54.511405,-160.84125
2005,47,110,-12606,54.5921,-160.9272
2005,47,13,-12607,54.866295,-160.601155
2005,47,13,-12608,55.030665,-160.175945
2005,47,310,-12609,54.23679,-160.53835
2005,47,111,-12610,54.30999,-160.58605
2005,47,210,-12613,54.341325,-159.94366
2005,47,13,-12614,54.78481,-159.93855
2005,47,12,-12615,55.7072,-160.0364
2005,47,12,-12616,55.58509,-159.824
2005,47,112,-12617,55.42984,-159.77595
2005,47,13,-12618,55.263185,-160.09475
2005,47,13,-12619,55.180775,-160.116455
2005,47,13,-12620,55.089295,-160.27285
2005,47,12,-12621,55.5217,-160.60105
2005,47,12,-12622,55.53866,-160.72195
2005,47,12,-12623,55.779265,-159.09525
2005,47,120,-12624,55.48967,-158.684205
2005,47,120,-12625,55.48418,-158.432855
2005,47,120,-12626,55.474855,-158.0373
2005,47,120,-12627,55.308305,-158.606045
2005,47,120,-12628,55.1854,-158.43165
